content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,台灣學生數學能力全球第3，但學習落差「全球第一」！比南韓、星港更糟，怎麼回事,OECD揭曉2022年PISA成績（國際學生能力評量計畫），多國受疫情影響分數下滑，台灣卻逆勢成長，數學平均分數全球第3。台灣點被名出現「雙峰現象」，代表台灣教育落差狀況非常嚴重，比南韓、新加坡、香港,職場,教育趨勢,2023/12/12,"教育部,數學,扶助計畫,台灣,oecd,PISA成績"
,台港股黃金交叉後衝萬八！看好3族群、當心2風險 - 商業周刊第1882期 - 商周線上讀,台港股黃金交叉後，衝萬八續航力在哪？為何要看美日臉色？台港吸引資金的能力發生變化，與科技業為首的台股，與全球產業趨勢連動，香港則受中國政策、企業影響，削弱外資興趣。台股明年有望甩低出口、高庫存危機，享揮別低基期紅利，且受惠AI、高效能運算崛起，讓3族群持續吃香。,投資焦點, ,2023-12-07,"台股,港股,晶片,外資,出口,利率,指數"
,中國40個主要城市、有30個降房租！房子租不出去，人都去哪了？,中國經濟不振，房地產低迷，全中國40個主要城市，當中30個的房租都在下跌。,國際,趨勢中國,2023/12/11,"房市,北京,經濟,中國,房租,上海"
,鎖定產業趨勢，2024年十大亮點工作、薪資出爐,1111人力銀行盤點2024年10大亮點工作。其中包括近年最夯的淨零碳排相關工作：永續管理師、碳排管理師。AI熱潮下的相關工作也入列，包括人機協同師、AI詠唱師等等。,財經,商業趨勢,2023/12/12,
,台灣Google熱搜冠軍是颱風！ChatGPT、藍白合也上榜，黃子佼奪竄升人物第一,Google公布台灣2023年度搜尋排行榜，前3名依序為颱風、AI聊天機器人ChatGPT、世界棒球經典賽。其他上榜關鍵字還有6000全民共享普發現金、iPhone 15、以色列、藍白合、亞洲運動會棒,焦點,時事分析,2023/12/12," 颱風, 谷歌,Google, 搜尋"
,想當自雇者替自己工作？當你的老闆是「客戶」，可能讓你更崩潰,有1/3的Z世代認為自雇是財務成功的最佳途徑，年輕世代想替自己工作。但《商業內幕》聯合創辦人布洛傑特提醒，當你離開了公司，會面對同樣的焦慮與壓力，你的老闆可能是客戶或是演算法。,職場,創業心法,2023/12/12,"KOL,創業,自媒體,Z世代,網紅,演算法,youtuber,TikTok"
,你身邊一定有這樣的人：抱怨工作爛，卻怎樣也不肯離職⋯「雙輸思維」害慘人,在職場過得很不快樂又不願離職的人，通常是陷入了「雙輸思維」，覺得留下痛苦萬分，離開又毫無把握，兩條路都是死路。事實上，選擇不同的思維方式，就會有截然不同的感受。例如正向思考的人可能會覺得，留下來可以繼,職場,職場修練,2023/12/08,"職場,心理,精神科醫師,情緒,竹科"
,這7種關係會吸光你的能量：中年的你，不要再當情緒垃圾桶,人際關係的毒，要學會辨識它、避開它，把時間心力留給更值得交流的健康關係。同時也要時時自省，別讓自己成為人際關係的毒，否則時間一久，身邊朋友會敬而遠之。學習懂得自我覺察、找到方法改善自己的狀態，將讓你擁,職場,心靈成長,2023/12/05,"成長,人際關係,第二人生,中年"
,連長輩都會用 臺南市衛生局推Line@為市民顧健康,數位轉型是現在進行式，除了傳統公共衛生服務的提供，臺南市政府衛生局也不斷嘗試透過新興的數位科技提供市民更多元的服務。以「臺南共照雲」來講，從新冠疫情期間的好幫手，疫後再轉型到為健檢的小祕書，讓科技防疫,財經,產業動態,2023/12/11,"永續經營,未來商務,永續城市"
,邊看劇、邊聊天，原地踏步就能瘦！日本紅到台灣的「超慢跑」怎麼做,「超慢跑」為低強度、步伐不大的跑步運動，速度甚至慢到可以邊看電視、聊天。超慢跑的好處不只提升身體健康、減肥，還能改善三高、慢性病等，且對膝蓋、關節的衝擊較小，很適合運動新手、長輩、肥胖族群。超慢跑推廣,生活,養生保健,2023/08/18,"瘦身,超慢跑,健身,運動"
,一個作家的實驗：每天2分鐘、連續做42天棒式會怎麼樣？,1. 一位名為拉納（Darshak Rana）的心靈健康作家親身挑戰30天2分鐘棒式挑戰，他最後堅持了42天（6週），從第一天1分鐘都做不到，到最後一天總共能撐超過4分鐘。2. 棒式是全身性的核心肌力,生活,養生保健,2022/01/20,"棒式,核心,心靈"
,北歐式健走、抓單槓1分鐘...想抗老、防肌少，做這5種超高效運動就對了！,運動應涵蓋4種類型的訓練：柔軟度、平衡性、耐力、力量。適合的運動包括有氧運動北歐式健走，可以用到腿部、臀部、核心、肩膀和手臂；使用單槓時，只要單純懸掛在上面一分鐘，就能訓練握力、手臂力量、肩膀靈活度、,生活,養生保健,2023/06/07,"北歐式健走,肌少,單槓,運動,訓練,抗老"
,留意2024年「灰天鵝」：中國倒向西方、AI把持股市,專家警告，2024年可能有幾隻發生機率極低，但影響巨大「灰天鵝」。包括OPEC+聯盟瓦解、美國總統拜登（Joe Biden）放棄競選連任，以及美元兌日圓暴跌等。其中最值得留意的是，中國重新向西方敞開大,財經,商業趨勢,2023/12/12," 全球金融, 中國, 股市,AI"
,「30年來頭一次，年輕人不再提中國夢」金磚四國之父歐尼爾錯看中國獨家告白 - 商業周刊第1866期 - 商周線上讀,近日中國「中植系」旗下中融信託驚傳爆雷，房產龍頭碧桂園也傳出債務違約；市場甚至擔心，會出現中國版雷曼時刻，衍生金融風暴。20多年前最早提出金磚四國的高盛前首席經濟學家歐尼爾，坦言自己過去5年看錯中國，認為中國「過去幾年做了不少錯事。」,國際焦點, ,2023-08-17,"金磚,美元,G7,歐尼爾,中國"
,年紀越大越懊悔⋯人類學教授：我見過最悲傷的人，都有一段毀滅的親子關係,美國康乃爾大學老年醫學教授花費長達5年的時間、採訪近1200名長者，發現「親子關係」的毀滅，永遠都是憂傷的肇因。在親子永遠視同陌路的研究紀錄中，不管角色是父親、母親或孩子都一樣，可以歸納出一個明確的建,職場,教育趨勢,2023/07/05,"親子關係,婚姻,康乃爾大學,人類學"
