content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,侯友宜專訪：為何中國不談　我們就不動作 - 商業周刊第1885期 - 商周線上讀,國民黨總統參選人侯友宜談兩岸與國際地位：兩邊要坐下來談，不能只講一個「循WTO原則」，為什麼對方不跟我們談、我們就不動作呢？大家會把ECFA擴大成政治議題，但也可以把它縮小成經濟議題。雞蛋要放在很多籃子，大陸也是一個。國際地位要靠自己爭取，很多事就是坦誠，總統又不是比口才。,封面故事, ,2023-12-28,"ecfa,侯友宜,CPTPP,國民黨,總統,兩岸,塭仔圳"
,侯友宜專訪：為何中國不談　我們就不動作 - 商業周刊第1885期 - 商周線上讀,國民黨總統參選人侯友宜談兩岸與國際地位：兩邊要坐下來談，不能只講一個「循WTO原則」，為什麼對方不跟我們談、我們就不動作呢？大家會把ECFA擴大成政治議題，但也可以把它縮小成經濟議題。雞蛋要放在很多籃子，大陸也是一個。國際地位要靠自己爭取，很多事就是坦誠，總統又不是比口才。,封面故事, ,2023-12-28,"ecfa,侯友宜,CPTPP,國民黨,總統,兩岸,塭仔圳"
,侯友宜專訪：為何中國不談　我們就不動作 - 商業周刊第1885期 - 商周線上讀,國民黨總統參選人侯友宜談兩岸與國際地位：兩邊要坐下來談，不能只講一個「循WTO原則」，為什麼對方不跟我們談、我們就不動作呢？大家會把ECFA擴大成政治議題，但也可以把它縮小成經濟議題。雞蛋要放在很多籃子，大陸也是一個。國際地位要靠自己爭取，很多事就是坦誠，總統又不是比口才。,封面故事, ,2023-12-28,"ecfa,侯友宜,CPTPP,國民黨,總統,兩岸,塭仔圳"
https://www.businessweekly.com.tw/Event/site/consultants100/pwc_list,,,,,,
https://www.businessweekly.com.tw/Event/site/consultants100/,,,,,,
,他鞏固蘋果，總能雙贏、說服張忠謀　全面解讀魏哲家 - 商業周刊第1885期 - 商周線上讀,台積電董事長劉德音即將退休，這個全球最難當的企業董事長，接手呼聲最高的就是現任台積電總裁魏哲家。他加入台積電25年，外界最容易看見的是他獨特的幽默感，此外，他還具備做事明快、說到做到、能屈能伸、擅於溝通等特質，總能說服張忠謀，更是鞏固蘋果訂單的關鍵功臣。未來，在地緣政治壓力之下，魏哲家如何運用這些特質，帶領台積電走出新路，備受矚目。,焦點新聞, ,2023-12-28,"台積電,魏哲家,張忠謀,蘋果,劉德音,退休,接班"
,思念我的大叔李善均》這8句充滿力量的話，陪你一點一點走出低潮,韓國演員李善均因韓劇《我的大叔》，溫暖可靠的形象深植人心。今年傳出涉入吸毒，仍在偵辦中，但毒品檢測結果皆為陰性。不料27日在首爾被發現於車輛內昏迷不醒，最終宣判身亡，享年48歲。犯錯時，承認錯誤、懺悔,職場,心靈成長,2023/12/28,"李善均,我的大叔,犯錯,原諒,心靈,成長"
,台積電工程師下班變網紅　瓦基靠3個工具轉職 - 商業周刊第1778期 - 商周線上讀,商周線上讀，收錄台灣《商業周刊》雜誌歷年報導文章，包括第一桶金、金磚四國、一個台灣兩個世界、成功者的筆記本、台灣哥倫布、新零售、新製造、新物種等領先觀念，記錄台灣與世界二十年來的趨勢改變。,人物特寫, ,2021-12-09,"創作者經濟,瓦基,網紅,部落客,台積電"
,微軟前人資副總：老闆眼中年終獎金的意義，和你想的不同,公司大部分員工都在年底進行最後衝刺，不過對主管而言12月的匆忙對他們而言無意義，因為他們看的是更長期的目標。此外對比績效考核關乎低階員工全年表現及去留，主管考績高低更關乎企業體質。因此主管在年末年初比,職場,職場修練,2023/12/28," 職場, 微軟,年終獎金, 人資"
,看淡事情，工作反而變順利！職場上最強生存力是「不在意」,面對任何事情，一旦開始爭辯就沒有贏家了。你再有道理，也應該想辦法退一步、尊重對方的立場，不需要竭盡所能的爭辯。人際關係，往往建立在「各取所需」。要知道：在職場上被利用不是一件壞事，那代表你有能力、有價,職場,職場修練,2023/12/26,"工作,抱怨,情緒,社交"
