content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,2024總統大選》候選人「兩岸」政見總整理，誰能阻止兩岸發生戰爭？,2024總統大選只剩3個月，最受矚目的4位候選人，民眾黨候選人柯文哲、國民黨候選人侯友宜、連署參選人郭台銘、民進黨候選人賴清德，針對國人最關心的兩岸、國防政策，各提出哪些政見？,焦點,時事分析,2023/12/14,"候選人政見,兩岸關係,民眾黨,總統大選,民進黨,侯友宜,2024總統大選,賴清德,國民黨,郭台銘,柯文哲"
,降息、新青安房貸、大選將落幕...都是利多，台灣房價怎麼會跌,美國聯準會釋出降息訊號，全球股價大漲，房價也蠢蠢欲懂。專家預測，降息、新青安、大選即將落幕等利多助攻，明年房市恐價量齊漲。…美國聯準會維持利率不斷，並暗示明年降息3次，全球股市應聲大漲，台股大漲百點慶祝,財經,地產風雲,2023/12/14,"房貸補助,房市,預售屋,新青年安心成家房貸,新青安,青安貸款,降息"
,紡織老將用20％小單逆轉壟斷　衝上台股前3季EPS第3 - 商業周刊第1883期 - 商周線上讀,材料是今年最令人驚奇的公司之一，它所製作的醋酸纖維，是香菸濾嘴原料。然而市場上卻早有4大競爭對手壟斷，董事長王克璋是位紡織老將，他改攻20%縫隙小單突圍，當對手減產，他擴產，滿足中小菸商需求。股價一度暴衝千元，今年前3季EPS更在上市公司排行第3。,產業風雲, ,2023-12-14,"材料,王克璋,香菸,濾嘴"
,家樂福、全聯都加薪！2024殘酷的企業真相：加了薪員工還是會走，但你必須加,2023年年底，各大零售業大張旗鼓的發布新聞，宣布他們2024年將會加薪，顯示他們重視員工、願意用薪資留才的決心。加薪對缺工困境真的有幫助嗎？事實上不會，但如果你薪水不向上調會更慘，因為會更難招人。一,管理,領導馭人,2023/12/15,"缺工,經營,薪水,加薪,帶人"
,訂閱戶最多卻難甩虧損宿命　Spotify 3度裁員竟因「太專注」 - 商業周刊第1883期 - 商周線上讀,Spotify訂閱戶第一，今年卻宣布第3度裁員，為何用戶數持續成長的它，難擺脫虧損命運？原因是它把串流音樂當成唯一，為維持大量歌單，有7成訂閱費須當版稅支付。「太專注」在聲音經濟讓它發展受限，如今有機會靠一個「黑科技」扭轉現況嗎？,國際焦點, ,2023-12-14,"Spotify,平台,串流音樂,訂閱,Podcast,聲音經濟"
,放棄微軟千萬年薪！台大資工最年輕教授：回母校教書是我的目標,1.陳縕儂是台大資工系最年輕的老師，畢業於台大資工系、資工所後，到美國攻讀博士。2.博士畢業後成為微軟正職研究員，年薪近千萬；同學也多在4大網路企業工作。3.後來母校台大拋出橄欖枝，但依體制，助理教授,職場,教育趨勢,2022/07/20,"AI學習,微軟,台大資工教授,陳縕儂"
,遇到行人一定讓！在新加坡生活5年的台灣人：我搶過馬路的功力盡失,作者艾倫在新加坡住了5年，某次到越南出遊、要過沒有斑馬線紅綠燈的馬路時，赫然發現自己過馬路的技巧生疏了。艾倫歸納出3個讓他過馬路功力盡失的的關鍵：新加坡馬路人車分道、禮讓行人的概念深植新加坡人觀念，以,國際,全球話題,2023/06/21,"行人,用路安全,道路設計,新加坡,以人為本,馬路"
,面試相談甚歡，跳槽後卻悔不當初…20年業務主管：如果能重來，我會做3件事,1.有一位非常資深的經理人，有20多年的產業經驗，管理過幾百人的業務部門。他曾開出亮眼成績單，也曾改進產品、力挽狂瀾。2.但最近一次換工作時，他卻遇到了很多力不從心的事。進入新公司之後，他發現自己作為,職場,職場修練,2020/09/02,"轉職注意事項,換工作,跳槽,跳槽時機"
,能力剛好及格的求職者，反而讓人印象深刻！公司老闆認為比專業技能更重要的是⋯,作者是一名遊戲公司創辦人，某次他面試到一位程式能力只到及格線的求職者，而且對方還在面試時哭了，作者卻決定錄取她。關鍵在於，求職者學習程式的過程，充分展現出她想讓自己變好的決心，這份努力不放棄的個性，與,職場,職場修練,2023/12/12,"面試,錄取,求職"
,8:00上班，13:00下班！這家公司，為何敢用「5小時工時制」？,1.《華爾街日報》報導，一間德國新創公司開創新的生產力思維：8點上班、1點下班，5小時工作制。2.該企業負責人表示，工作期間，嚴格禁止使用社群媒體、嚴格限制開會及電子郵件收發。一旦干擾及無止盡的討論，,管理,領導馭人,2021/12/07,"思維,工時,生產力,彼得杜拉克,管理"
