content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
5128782?utm_campaign=line_cw-social-daily-240101-5128782&utm_source=line_cw&utm_medium=social,天下財經週報：熱了一整年AI、電動車，2024還有戲嗎？,各行各業大缺工，勞工好命的時代要來了嗎？2024年AI概念股還會繼續漲嗎？電動車市場買氣為什麼降溫了？以下為本週天下財經週報：,財經,財經週報,2023-12-29,"AI,人工智慧,Magnificent Seven,基本工資,調漲,加薪,電動車"
5128763?utm_campaign=line_cw-social-daily-240101-5128763&utm_source=line_cw&utm_medium=social,烏克蘭戰爭：影響2024年戰況的五大關鍵,在成為全球最關注的新聞近兩年之後，烏克蘭與俄羅斯的戰爭將在2024年繼續下去，但可能會呈現與過往不同的發展。,國際,歐洲,2024-01-01,"烏克蘭,烏俄戰爭,俄羅斯,普丁,東歐,軍事,武器,兵力,烏克蘭疲勞"
5128717?utm_campaign=line_cw-social-daily-240101-5128717&utm_source=line_cw&utm_medium=social,MIT經濟學家：科技富豪寧可選擇AI，高薪職業變少,科技為我們帶來便利的生活，卻也讓勞工更加邊緣。麻省理工學院（MIT）經濟學教授出書警示，一味吹捧AI，未來將只剩上層科技菁英，與下層「不如機器人」的大眾。,產業,科技,2023-12-26,"AI,人工智慧,倫理,機器人,智慧化,勞工,貧富差距"
5122211?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink-240101-5122211&_branch_match_id=1270989029259235873&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTywoyMnMy9ZLLtdLzs%2FVKynXT7P0zfIxMvYPdUsCAEQsKSMlAAAA,3年賣一萬台保時捷！從報關小妹到全球唯一女銷售處長,從在碼頭報關的小妹，到保時捷全球唯一的女性銷售處長，旁人看鍾明潓的故事，是一個女性在充滿陽剛氣息的產業奮鬥史，但她自己卻從來不這麼想。,人物,人物特寫,2022-08-08,"鍾明潓,保時捷,汽車業"
5128792?utm_campaign=line_cw-social-daily-240101-5128792&utm_source=line_cw&utm_medium=social,遲來了20年的痛定思痛　鐵路局變成台鐵公司，能追上高鐵嗎？,兩場巨災，帶走67條生命，終於促成政府痛定思痛，讓台鐵公司化，2024年元旦掛牌營運。但這場遲了20年的轉型，只是台鐵改革的起點，重新起步該怎麼走？,政治社會,政策,2024-01-01,"台鐵公司化,台鐵,交通,鐵道,大眾運輸"
5128724?utm_campaign=line_cw-social-daily-240101-5128724&utm_source=line_cw&utm_medium=social,如果把事情交給下屬，卻不滿意他的決策怎麼辦？,授權就像六塊肌，需要自我克制才能練成。主管可以參考貝佐斯的做法，設好委派規則，然後就放手讓下屬做你不會做的決定。,重磅外媒,經濟學人,2023-12-26,"授權,決策,事必躬親,主管"
5128579?utm_campaign=line_cw-social-daily-240101-5128579&utm_source=line_cw&utm_medium=social,不吃早餐危害大！2篇新研究：不吃早餐傷害心血管，還可能致癌,「吃、不吃早餐哪個比較健康」一直都是熱門話題，兩邊各有擁護者，不過2篇觀察性新研究建議，無論如何還是要吃早餐，否則會對健康產生重大危害。,健康關係,健康醫療,2023-12-26,"早餐,空腹,節食,心血管疾病,消化道癌症,生理時鐘,168間歇性斷食"
5128691,「人生勝利組」闖過憂鬱風暴　前科技部長陳良基夫人王素梅：現在是我最幸福時刻,前科技部長陳良基陪著太太王素梅，走過憂鬱風暴。從小猶如人生勝利組的王素梅，為何會突然遭受憂鬱症重襲？陳良基又是如何陪她走過？王素梅首度接受媒體採訪，以過來人的身分讓大眾更認識憂鬱症。,銀天下,觀點人物,2023-12-27,"觀點人物,憂鬱症,家庭照顧者,王素梅,陳良基"
5128782?utm_campaign=line_cw-social-daily-240102-5128782&utm_source=line_cw&utm_medium=social,天下財經週報：熱了一整年AI、電動車，2024還有戲嗎？,各行各業大缺工，勞工好命的時代要來了嗎？2024年AI概念股還會繼續漲嗎？電動車市場買氣為什麼降溫了？以下為本週天下財經週報：,財經,財經週報,2023-12-29,"AI,人工智慧,Magnificent Seven,基本工資,調漲,加薪,電動車"
5128698?utm_campaign=line_cw-social-daily-240102-5128698&utm_source=line_cw&utm_medium=social,「萬一被老共懲處怎麼辦？」三千台無人機以軍養民，量產卡在政治,烏克蘭急缺20萬架無人機，台灣光是軍購的3000台就已佔滿產能。全球民主國家供應鏈去紅化，想藉此展翅高飛得盡快量產。然而，電子大廠卻憂心中國找麻煩，不願投入。,產業,製造,2023-12-26,"無人機,非紅供應鏈,軍用商規,國安,國防自主"
