content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
5128458?utm_campaign=line_cw-social-daily-231206-5128458&utm_source=line_cw&utm_medium=social,最新PISA出爐！台灣數學科挺進全球第三　風光背後卻有「錢坑」難題,PISA2022成績今日公布，台灣不受疫情影響，閱讀、數學與科學三科成績與上屆相較皆逆勢變強，數學科更挺進全球第三名。然而，後段學生成績仍難有起色，風光背後透露隱憂。,教育,教育趨勢,2023-12-05,"PISA,閱讀,數學,後段班,排名"
5128168?utm_campaign=line_cw-social-daily-231206-5128168&utm_source=line_cw&utm_medium=social,歐洲會跟美國一起為保衛台灣而戰嗎？經濟學人《2024全球大趨勢》2024是世界秩序成敗之年,【2024全球大趨勢｜評論】2024年，世界面臨多極失序，必須努力遏止這種危險的惡性循環。《經濟學人》年度特刊《2024全球大趨勢》提醒，以中國、伊朗和俄羅斯為代表的三重麻煩正在出現，美歐恐將出現更大的分歧，甚至在台灣問題上。,重磅外媒,經濟學人,2023-12-04,"2024全球大趨勢,以巴衝突,美國,中國,俄羅斯,烏俄戰爭,地緣政治"
5128250?utm_campaign=line_cw-social-daily-231206-5128250&utm_source=line_cw&utm_medium=social,阿聯蛻變「中東的新加坡」　還會是AI第三強國,近年來世界政治失序、經濟路線分歧，阿拉伯聯合大公國卻蓬勃發展，不僅成為商業樞紐，甚至在未來的AI競爭中，成為第三重要國家。,重磅外媒,經濟學人,2023-11-28,"阿聯酋,UAE,中東,氣候峰會"
5128260?utm_campaign=line_cw-social-daily-231206-5128260&utm_source=line_cw&utm_medium=social,雙語政策救經濟？外文系老師：是錯誤的國家投資,【獨立評論專欄】現行的雙語政策，旨在打造對未來經濟美好想像， 卻忽略了廣設大學的錯路。教育投資該怎麼做？,教育,教育趨勢,2023-11-28,"雙語,英語,AI,少子化,獨立評論"
5123001?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink&_branch_match_id=1261133291136937639&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTy5PLCjQA%2BGczLxsfd%2B0ILcg50qnDLckAMn04pwiAAAA,你被老闆「安靜解雇」了嗎？ 7個跡象分辨,83%員工說，自己體驗過，或是曾看到同事遭受「安靜解雇」。什麼是安靜解雇，如何知道自己是不是已經遭受這樣的對待？,管理,職場競爭力,2022-10-03,"安靜解雇,在職離職,工作,主管,升遷"
5128463?utm_campaign=line_cw-social-daily-231206-5128463&utm_source=line_cw&utm_medium=social,ChatGPT問世一週年》有什麼事真的改變了？,ChatGPT問世一週年，矽谷心態、什麼人才搶手都改變了。躬逢AI盛事，一切熱潮是否名符其實？,產業,科技,2023-12-06,"ChatGPT,AI,人工智慧,微軟,裁員,廣告投放,矽谷"
5128453?utm_campaign=line_cw-social-daily-231206-5128453&utm_source=line_cw&utm_medium=social,OpenAI不Open？Meta、IBM成立AI聯盟對抗，想幹嘛？,包括Meta、IBM、英特爾、超微等全球50個重量級IT公司和研究機構將共同成立一個新的AI聯盟，目的是促進AI更開放的發展。新聯盟是想要與OpenAI對抗嗎？他們預計一年投資800億美元（約合新台幣2.4兆元）來促進開放式AI的發展。能成功嗎？,產業,科技,2023-12-05,"AI,人工智慧,OpenAI,開放原始碼"
https://maac.io/2knDi/dtbw6,,,,,,
5128449?utm_campaign=line_cw-social-daily-231206-5128449&utm_source=line_cw&utm_medium=social,執行長：面試時千萬別問一個問題,在工作與生活之間達成健康的平衡，是求職者的第一優先，但是在面試中主動提起這個話題，可能會降低你獲得錄取的機會。,管理,職場競爭力,2023-12-06,"面試,求職,找工作"
5104005?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink-231206-5104005&_branch_match_id=1261134090165324628&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTywoyMnMy9ZLLtdLzs%2FVKynXd0ovtEg3DDJKd0sCAB2pcTwlAAAA,愛打架的叛逆囝仔成為台大優良教師：老師爸爸搶帶放牛班，改變了我,連續12年獲頒優良教師獎的台大教授林明仁，廣受學生喜愛，但許多人不知道，其實林明仁曾經是個讓老師頭痛的「叛逆小子」，他為何會踏上教職？又是什麼原因讓他成為如今跟學生打成一片、非典型的「麻辣鮮師」？,人物,人物特寫,2020-12-20,"林明仁,台大,優良教師,放牛班"
