content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
5128664?utm_campaign=line_cw-social-daily-231221-5128664&utm_source=line_cw&utm_medium=social,解析劉德音退休震撼彈》7月法說會說錯哪句話，踩到美國設廠紅線？,台積電19日發布重磅訊息，宣布董事長劉德音2024年股東會後退休，並由總裁魏哲家接任下一屆董事長。劉德音為何只做5年董事長就退休？對台積有何影響？,產業,科技,2023-12-20,"台積電,張忠謀,劉德音,魏哲家,亞利桑那州,晶片法案"
https://www.cw.com.tw/marketing/plan/432/GC23110033?utm_source=line_cw&utm_medium=social&utm_campaign=2024TWA_line_cw_social_game,,,,,,
5128660?utm_campaign=line_cw-social-daily-231221-5128660&utm_source=line_cw&utm_medium=social,零售業老將謝健南第一手觀察》實體零售為何將戰勝純電商？,【服務一點訣】今年雙11、雙12表現令人失望，疫情中竄起的電子商務，正進入另一個新局。純電商該如何自救？實體電商要如何發揮優勢？,管理,服務一點訣,2023-12-19,"全聯,謝健南,實體電商,虛擬店商,momo,亞馬遜"
5128536?utm_campaign=line_cw-social-daily-231221-5128536&utm_source=line_cw&utm_medium=social,2024科技看點》科幻片成真！飛天車上路，腦機革命治療癱瘓,【2024經濟大預測】2024年，將有一系列令人期待的科技新進展。包括飛行汽車將現身巴黎奧運、腦機介面讓人用意念行走，許多原本只存在科幻小說的劇情，正逐漸走向現實。,產業,科技,2023-12-12,"新科技,飛行汽車,腦機革命,核能,馬斯克,奧特曼,Uber,2024經濟大預測"
https://www.cw.com.tw/marketing/plan/432/GC23110033?utm_source=line_cw&utm_medium=social&utm_campaign=2024TWA_line_cw_social_game,,,,,,
https://maac.io/2lPhY/dtbw6,,,,,,
5096813?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink&_branch_match_id=1267720605845948964&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTy5PLCjQA%2BGczLxsfbfk4oKMwlRTR7ckAKC3B64iAAAA,愈來愈少人結婚　研究：因為好男人不多,我們活在一個奇異的時代。科技鼓勵我們遁入自己的個人世界。另一方面，親密關係似乎變得困難。為什麼愈來愈少人結婚呢？,健康關係,兩性關係,2019-09-13,"結婚,婚姻,結婚率,不婚"
5128508?utm_campaign=line_cw-social-daily-231221-5128508&utm_source=line_cw&utm_medium=social,移植超過千顆肝與腎　來自雲林的傳奇醫師「大小李伯」70年兄弟情,一個是台大醫院備受尊敬的神級醫師，一個是史上任期最久的健保署長，李伯皇、李伯璋也同時是台灣器官移植史的關鍵人物。他們倆70年的兄弟情深，從雲林虎尾一個普通的公教家庭開始。,人物,人物特寫,2023-12-12,"李伯皇,李伯璋,器官移植,台大醫院,健保署"
5128384?utm_campaign=line_cw-social-daily-231221-5128384&utm_source=line_cw&utm_medium=social,烏俄戰爭深陷泥淖　2024最關鍵的戰略挑戰,【2024全球大趨勢｜歐洲】烏克蘭反攻的進度，遠不如預期，西方國家必須擴大支援，否則恐怕會陷入僵局,重磅外媒,經濟學人,2023-12-08,"2024全球大趨勢,烏俄戰爭,國防,烏克蘭,俄羅斯,美國"
5128557?utm_campaign=line_cw-social-daily-231221-5128557&utm_source=line_cw&utm_medium=social,顏擇雅：名校招生不公平，美國人可接受？,【顏擇雅專欄】家世人脈、捐贈巨款，都有助擠進哈佛、耶魯，這些常春藤名校的招生機制，公然圖利富家子弟，美國人卻願意忍受，背後代表的意義是？,教育,教育趨勢,2023-12-12,"學歷,階級,大學排名,多元入學,貧富差距,教育平權,顏擇雅"
